Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%),cluster
Prützke,Europe,Germany,Prützke,Operational,,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,14.0,,,20/09/2021,,Prützke,52.33,12.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Brake,Europe,Germany,Brake,Operational,Windpark Brake GmbH & Co KG Renditefonds,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.0,,,20/09/2021,,Brake,53.327237,8.4775443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Görike-Söllenthin,Europe,Germany,Görike-Söllenthin,Operational,,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,19.5,,,20/09/2021,,Görike,52.94,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Biere II,Europe,Germany,Biere II,Operational,,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,24.0,,,20/09/2021,,Biere,51.98,11.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Edersleben,Europe,Germany,Edersleben,Operational,e.disnatur Erneuerbare Energien GmbH,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.0,,,20/09/2021,,Edersleben,51.4,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Landscheide,Europe,Germany,Landscheide,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,22.2,,,20/09/2021,,Landscheide,53.9200305,9.2530091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Elster II,Europe,Germany,Elster II,Operational,WSB,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,42.0,,,20/09/2021,,Elster,51.82,12.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Mastershausen,Europe,Germany,Mastershausen,Operational,Windpark Mastershausen GmbH & Co. KG,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,20.9,,,20/09/2021,,Mastershausen,50.0653337,7.3545507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Trebbichau,Europe,Germany,Trebbichau,Operational,Windpark GmbH & Co. Trebbichau KG,,2012.0,,Renewables,Wind,,,On-shore,,,,,,,,,16.1,,,20/09/2021,,Trebbichau,51.6479732,11.9649515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
Mechernich,Europe,Germany,Mechernich,Operational,Vernet,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.5,,,20/09/2021,,Mechernich,50.5917044,6.653072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Samswegen,Europe,Germany,Samswegen,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Samswegen,52.26,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Klein Bennebek,Europe,Germany,Klein Bennebek,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,7.0,,,20/09/2021,,Klein Bennebek,54.4,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Gerbstedt - I,Europe,Germany,Gerbstedt - I,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,13.5,,,20/09/2021,,Gerbstedt,51.65,11.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Elster,Europe,Germany,Elster,Operational,WSB,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.2,,,20/09/2021,,Elster,51.82,12.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Grünow,Europe,Germany,Grünow,Operational,WPD,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.56,,,20/09/2021,,Grünow,53.33,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Frauenprießnitz,Europe,Germany,Frauenprießnitz,Operational,,,1995.0,,Renewables,Wind,,,On-shore,,,,,,,,,11.0,,,20/09/2021,,Frauenprießnitz,51.0163618,11.7355317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Edemissen,Europe,Germany,Edemissen,Operational,Windpark Oelerse I-III GmbH & Co. Infrastruktur KG,,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,15.6,,,20/09/2021,,Edemissen,52.3870661,10.261278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
Güstow,Europe,Germany,Güstow,Operational,,,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,5.24,,,20/09/2021,,Güstow,53.71,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
Söhrewald,Europe,Germany,Söhrewald,Operational,Windpark Söhrewald / Niestetal GmbH & Co. KG,,2013.0,,Renewables,Wind,,,On-shore,,,,,,,,,15.4,,,20/09/2021,,Söhrewald,51.2154931,9.5929825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
